Query,Precision at 5,Precision at 20
what articles exist which deal with tss time sharing system an operating system for ibm computers 4 5 cacm systems jb 1978 computer 2358 6 design,0.2,0.15
i am interested in articles written either by prieve or udo pooch prieve b pooch u 6 5 4 program system cacm 2356 1978 jb language,0.4,0.15
intermediate languages used in construction of multi-targeted compilers tcoll 4 5 programming cacm 1978 jb language 6 1098 2939,0.0,0.0
im interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and message-passing are examples of my interests 4 5 cacm system data 1978 jb programming computer language,0.4,0.1
id like papers on design and implementation of editing interfaces window-managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction system 5 4 1978 language cacm computer jb systems data,0.2,0.1
interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion 5 6 cacm 4 computer 1978 jb 3188 programming data,0.4,0.1
i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault-tolerance and techniques for understanding the correctness of these algorithms 4 5 cacm 1978 jb system 2902 program algorithm 3128,1.0,0.4
addressing schemes for resources in networks resource addressing in network operating systems 4 system 5 computer cacm 1978 6 jb 1877 2358,0.4,0.1
security considerations in local networks network operating systems and distributed systems system 5 4 computer cacm 1978 jb data information 3128,0.4,0.25
parallel languages languages for parallel computation 4 6 programming cacm language 5 jb 1978 1098 1601,0.8,0.4
setl very high level languages language 4 programming 5 data cacm jb 1978 system 1098,0.8,0.3
portable operating systems 4 system 5 6 cacm 1978 computer jb 2358 2111,0.4,0.1
code optimization for space efficiency 5 cacm 4 1978 jb algorithm program storage 2033 system,0.4,0.1
find all discussions of optimal implementations of sort algorithms for database management applications 4 5 cacm algorithm 2679 data 1978 jb 6 2902,0.2,0.1
find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization 5 4 cacm jb algorithm 1978 data 6 system program,0.2,0.1
find all descriptions of file handling in operating systems based on multiple processes and message passing 4 system 5 cacm 1978 jb data computer program 2740,0.2,0.05
optimization of intermediate and machine code 5 cacm 1978 jb 4 language system march algorithm program,0.2,0.15
languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction 5 4 cacm jb 1978 6 language programming system program,0.0,0.05
parallel algorithms 4 6 5 cacm jb 1978 algorithm 1601 processing 2838,0.6,0.25
graph theoretic algorithms applicable to sparse matrices 5 4 algorithm cacm jb 1978 matrix 2986 january problem,0.4,0.1
computational complexity intractability class-complete reductions algorithms and efficiency 4 5 cacm algorithm 6 jb 1978 2110 time 2986,0.2,0.1
i am interested in hidden-line and hidden-surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics 5 1978 cacm jb 4 system display algorithm january 2845,0.0,0.1
distributed computing structures and algorithms 5 data cacm 4 jb 1978 algorithm computer systems 2709,0.6,0.15
applied stochastic processes 4 5 cacm 1978 jb system 6 computer 3128 2228,0.0,0.05
performance evaluation and modelling of computer systems system 5 4 cacm jb 1978 6 model data 2741,0.4,0.4
concurrency control mechanisms in operating systems system 4 5 data cacm computer 1978 jb programming 2840,0.0,0.1
memory management aspects of operating systems 4 system 5 cacm computer 1978 jb 6 2358 data,0.4,0.3
any information on packet radio networks of particular interest are algorithms for packet routing and for dealing with changes in network topography i am not interested in the hardware used in the network 5 cacm 4 system computer jb 1978 data systems 6,0.8,0.2
number-theoretic algorithms especially involving prime number series sieves and chinese remainder theorem 5 algorithm cacm 1978 jb 4 6 march january february,0.0,0.1
articles on text formatting systems including what you see is what you get systems examples tnroff scribe bravo system cacm 5 1978 information jb computer 4 language data,0.0,0.05
id like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c 5 computer cacm 1978 jb 4 system data display algorithm,0.2,0.05
id like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph im especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method 4 5 algorithm cacm jb 1978 2178 problem data 2986,0.2,0.05
articles about the sensitivity of the eigenvalue decomposition of real matrices in particular zero-one matrices im especially interested in the separation of eigenspaces corresponding to distinct eigenvalues articles on the subject c davis and w kahn the rotation of eigenvectors by a permutation siam j numerical analysis vol 7 no 1 1970 g stewart error bounds for approximate invariant subspaces of closed linear operators siam j numerical analysis vol 8 no 4 1971 davis c kahn w stewart g 5 cacm 1978 jb matrix algorithm february method january problem,0.0,0.05
fast algorithm for context-free language recognition or parsing 4 5 cacm jb 1978 2110 grammar grammars analysis 6,0.6,0.45
articles describing the relationship between data types and concurrency eg what is the type of a process when is a synchronization attempt between two processes type correct in a message-passing system is there any notion of the types of messages ie any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type 4 5 cacm 1978 jb 6 programming language 2941 3128,0.2,0.25
what is the type of a module i dont want the entire literature on abstract data types here but im not sure how to phrase this to avoid it im interested in questions about how one can check that a module matches contexts in which it is used 4 5 cacm 6 jb 1978 language system programming 2941,0.2,0.3
what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer-supplied definitions of operators like 4 language 5 6 programming cacm jb 1978 2178 1098,0.4,0.3
list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages eg catch any languages with interesting type structures that i might have missed 4 programming language 6 5 cacm jb 1978 1098 2941,0.4,0.3
computer performance evaluation techniques using pattern recognition and clustering la 70803 5 system 4 cacm jb 1978 analysis 2991 systems january,0.2,0.25
analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two-dimensional shapes measures of circularity shape matching 5 cacm jb 1978 system method 6 pattern 4 data,0.0,0.3
texture analysis by computer digitized texture analysis texture synthesis perception of texture cacm jb 1978 5 program data algorithm system 4 february,0.4,0.1
the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases 4 5 systems cacm data 1978 jb computer 6 model,0.6,0.45
the use of computer science principles eg data structures numerical methods in generating optimization eg linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms 5 cacm 1978 jb program 4 january method system analysis,0.2,0.05
the role of information retrieval in knowledge based systems ie expert systems 5 system 4 cacm data 1978 jb 6 computer 2345,0.2,0.1
abstracts of articles j backus can programming be liberated from the von neumann style a functional style and its algebra of programs cacm 21 re millo r lipton a perlis letter to acm forum cacm 22 1979 629-630 backus j de millo r lipton r perlis a 6 4 5 3184 799 404 1139 1140 1614 1613,0.2,0.05
algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest students t test wilcoxon and sign tests multivariate and univariate components can be included 5 1978 cacm jb data computer programming analysis systems 4,0.6,0.25
dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems 5 4 cacm 1978 jb 6 system 2111 data program,0.6,0.35
hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc 4 5 computer 6 data cacm 1978 jb 2358 information,0.2,0.25
information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co-citations the vector space model boolean search methods using inverted files feedback etc salton g 4 5 6 2109 cacm 2251 jb 1978 system data,0.8,0.5
results relating parallel complexity theory both for prams and uniform circuits 5 cacm 4 jb 1978 method algorithm computer 2709 january,0.4,0.1
algorithms for parallel computation and especially comparisons between parallel and sequential algorithms 4 5 6 cacm jb 1978 2679 algorithm 1601 processing,0.8,0.35
list all articles on el1 and ecl el1 may be given as el1 i dont remember how they did it 4 5 6 cacm data 1978 jb processing 2902 algorithm,0.2,0.05
