Query,Precision at 5,Precision at 20
what articles exist which deal with tss time sharing system an operating system for ibm computers article exists dealing timely share systems ans operations ibms computer,0.2,0.15
i am interested in articles written either by prieve or udo pooch prieve b pooch u interest article interesting,0.6,0.15
intermediate languages used in construction of multi-targeted compilers tcoll language use constructed compiler using construct compilation useful constructing compiling,0.0,0.05
im interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and message-passing are examples of my interests interest mechanism communication processing possible exclusive aed distribution environments description,0.4,0.15
id like papers on design and implementation of editing interfaces window-managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction likely paper designing implement edit interfaced commands interpretation essentially issue,0.2,0.1
interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion interest article robot motions plan geometrical combinatorially aspect interesting dynamic,0.2,0.1
i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault-tolerance and techniques for understanding the correctness of these algorithms interesting distribution algorithm concurrently program processing communication synchronous use messages,1.0,0.45
addressing schemes for resources in networks resource addressing in network operating systems addresses scheme networking address operations system addressed addressable operators operator,0.2,0.1
security considerations in local networks network operating systems and distributed systems secure considerable locally networking operations system distribution securely consideration localization,0.6,0.3
parallel languages languages for parallel computation parallelism language parallelizing computers parallelized parallels computer computing compute computed,0.8,0.55
setl very high level languages levels language,0.8,0.4
portable operating systems portability operations system operators operator operation operational operated operate operates,0.2,0.1
code optimization for space efficiency coding optimizers spaced efficient codes optimizing spaces efficiently coded optimized,0.4,0.25
find all discussions of optimal implementations of sort algorithms for database management applications finding discussed optimization implementation sorting algorithm databases manager application finds,0.4,0.4
find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization finding discussed horizontally optimizers specially optimizing looping globally optimized finds,0.2,0.15
find all descriptions of file handling in operating systems based on multiple processes and message passing finding description files handle operations system base multiplication processing messages,0.6,0.15
optimization of intermediate and machine code optimizers machines coding optimizing machined codes optimized coded optimal optimize,0.2,0.3
languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction language compiler parallelism processor horizontally microcode machine coding compactness compilation,0.4,0.15
parallel algorithms parallelism algorithm parallelizing algorithmic parallelized algorithmically parallels,0.0,0.3
graph theoretic algorithms applicable to sparse matrices graphs theoretical algorithm applications sparsely theoretically algorithmic application algorithmically applicability,0.4,0.1
computational complexity intractability class-complete reductions algorithms and efficiency computers complex intractable reduction algorithm efficient computer complexities algorithmic efficiently,0.0,0.1
i am interested in hidden-line and hidden-surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics interest algorithm cylinder toroidal sphere aed special topics computers graphical,0.0,0.15
distributed computing structures and algorithms distribution computers structure algorithm distributions computer structured algorithmic distributing computation,0.0,0.1
applied stochastic processes applying processing apply process applies processed,0.0,0.05
performance evaluation and modelling of computer systems performing evaluating modeling computers system perform evaluations models computation performs,0.6,0.5
concurrency control mechanisms in operating systems concurrent controller mechanism operations system concurrently controlled mechanical operators controlling,0.8,0.45
memory management aspects of operating systems memories manager aspect operations system memorys manageable operators manages operator,0.4,0.25
any information on packet radio networks of particular interest are algorithms for packet routing and for dealing with changes in network topography i am not interested in the hardware used in the network informational packets networking particulars interesting algorithm routes deal changing use,0.8,0.2
number-theoretic algorithms especially involving prime number series sieves and chinese remainder theorem algorithm involved primes numbers sieve remainders theorems algorithmic involves numbered,0.8,0.4
articles on text formatting systems including what you see is what you get systems examples tnroff scribe bravo article texts formats system included getting example format includes gets,0.2,0.1
id like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c likely finds described using singularities values decompositions digit imaged processes,0.2,0.1
id like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph im especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method likely finding article described graphs algorithm base eigenvalues decompositions singularities,0.2,0.05
articles about the sensitivity of the eigenvalue decomposition of real matrices in particular zero-one matrices im especially interested in the separation of eigenspaces corresponding to distinct eigenvalues articles on the subject c davis and w kahn the rotation of eigenvectors by a permutation siam j numerical analysis vol 7 no 1 1970 g stewart error bounds for approximate invariant subspaces of closed linear operators siam j numerical analysis vol 8 no 4 1971 davis c kahn w stewart g article sensitive decompositions particulars interest separated correspondence distinctions subjected rotational,0.0,0.0
fast algorithm for context-free language recognition or parsing algorithmic languages parse algorithms parsed algorithmically,0.6,0.4
articles describing the relationship between data types and concurrency eg what is the type of a process when is a synchronization attempt between two processes type correct in a message-passing system is there any notion of the types of messages ie any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type article described relationships typed concurrent typing aed processing synchronous attempting,0.2,0.25
what is the type of a module i dont want the entire literature on abstract data types here but im not sure how to phrase this to avoid it im interested in questions about how one can check that a module matches contexts in which it is used typed aed modulation wanted entirely abstracting typing phrases avoiding its,0.2,0.15
what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer-supplied definitions of operators like typed compatible means language allows programmers defining typing wanted restricted,0.4,0.3
list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages eg catch any languages with interesting type structures that i might have missed lists article deal typed followed language referencing frequent paper interest,0.2,0.25
computer performance evaluation techniques using pattern recognition and clustering la 70803 computers performing evaluating technique use patterns clusters computation perform evaluations,0.4,0.15
analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two-dimensional shapes measures of circularity shape matching shaped human computation description computing measuring circular matched humanities compute,0.2,0.3
texture analysis by computer digitized texture analysis texture synthesis perception of texture textured computers digital textures computation digit computing digits compute digitizing,0.4,0.1
the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases using operators researches modeling optimization informational systems performing included tune,0.8,0.45
the use of computer science principles eg data structures numerical methods in generating optimization eg linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms using computers sciences principle structure numeric method general optimizers linearization,0.2,0.05
the role of information retrieval in knowledge based systems ie expert systems roles informational retrieving knowledgeable base system experts informally retrieve bases,0.4,0.2
