Result,Precision,Recall
CACM-2912,0.0,0.0
CACM-2265,0.5,0.08333333333333333
CACM-2956,0.3333333333333333,0.08333333333333333
CACM-2957,0.25,0.08333333333333333
CACM-3105,0.2,0.08333333333333333
CACM-2651,0.3333333333333333,0.16666666666666666
CACM-2060,0.2857142857142857,0.16666666666666666
CACM-2815,0.25,0.16666666666666666
CACM-2632,0.3333333333333333,0.25
CACM-0618,0.3,0.25
CACM-3142,0.2727272727272727,0.25
CACM-3031,0.25,0.25
CACM-3103,0.23076923076923078,0.25
CACM-2941,0.2857142857142857,0.3333333333333333
CACM-2558,0.3333333333333333,0.4166666666666667
CACM-2341,0.3125,0.4166666666666667
CACM-2376,0.29411764705882354,0.4166666666666667
CACM-2229,0.2777777777777778,0.4166666666666667
CACM-2958,0.2631578947368421,0.4166666666666667
CACM-3128,0.25,0.4166666666666667
CACM-2369,0.23809523809523808,0.4166666666666667
CACM-2794,0.22727272727272727,0.4166666666666667
CACM-2342,0.21739130434782608,0.4166666666666667
CACM-2184,0.20833333333333334,0.4166666666666667
CACM-2244,0.2,0.4166666666666667
CACM-2243,0.19230769230769232,0.4166666666666667
CACM-2241,0.18518518518518517,0.4166666666666667
CACM-2242,0.17857142857142858,0.4166666666666667
CACM-2937,0.1724137931034483,0.4166666666666667
CACM-2560,0.16666666666666666,0.4166666666666667
CACM-1828,0.16129032258064516,0.4166666666666667
CACM-2850,0.15625,0.4166666666666667
CACM-1426,0.15151515151515152,0.4166666666666667
CACM-1626,0.14705882352941177,0.4166666666666667
CACM-3048,0.14285714285714285,0.4166666666666667
CACM-1398,0.1388888888888889,0.4166666666666667
CACM-1960,0.13513513513513514,0.4166666666666667
CACM-1489,0.13157894736842105,0.4166666666666667
CACM-2888,0.1282051282051282,0.4166666666666667
CACM-2051,0.125,0.4166666666666667
CACM-2321,0.12195121951219512,0.4166666666666667
CACM-1135,0.11904761904761904,0.4166666666666667
CACM-1870,0.11627906976744186,0.4166666666666667
CACM-1768,0.11363636363636363,0.4166666666666667
CACM-1309,0.1111111111111111,0.4166666666666667
CACM-0265,0.10869565217391304,0.4166666666666667
CACM-0867,0.10638297872340426,0.4166666666666667
CACM-1198,0.10416666666666667,0.4166666666666667
CACM-3043,0.10204081632653061,0.4166666666666667
CACM-1719,0.1,0.4166666666666667
CACM-1181,0.09803921568627451,0.4166666666666667
CACM-1034,0.09615384615384616,0.4166666666666667
CACM-1083,0.09433962264150944,0.4166666666666667
CACM-1698,0.09259259259259259,0.4166666666666667
CACM-1484,0.09090909090909091,0.4166666666666667
CACM-1748,0.08928571428571429,0.4166666666666667
CACM-3164,0.08771929824561403,0.4166666666666667
CACM-2379,0.08620689655172414,0.4166666666666667
CACM-1121,0.0847457627118644,0.4166666666666667
CACM-2320,0.08333333333333333,0.4166666666666667
CACM-1646,0.08196721311475409,0.4166666666666667
CACM-0243,0.08064516129032258,0.4166666666666667
CACM-0242,0.07936507936507936,0.4166666666666667
CACM-1701,0.078125,0.4166666666666667
CACM-1625,0.07692307692307693,0.4166666666666667
CACM-3116,0.07575757575757576,0.4166666666666667
CACM-3006,0.07462686567164178,0.4166666666666667
CACM-1738,0.07352941176470588,0.4166666666666667
CACM-2371,0.07246376811594203,0.4166666666666667
CACM-3039,0.07142857142857142,0.4166666666666667
CACM-1455,0.07042253521126761,0.4166666666666667
CACM-2865,0.06944444444444445,0.4166666666666667
CACM-3073,0.0684931506849315,0.4166666666666667
CACM-1869,0.06756756756756757,0.4166666666666667
CACM-2939,0.08,0.5
CACM-2194,0.07894736842105263,0.5
CACM-1587,0.07792207792207792,0.5
CACM-1474,0.07692307692307693,0.5
CACM-3114,0.0759493670886076,0.5
CACM-1172,0.075,0.5
CACM-2218,0.07407407407407407,0.5
CACM-2178,0.07317073170731707,0.5
CACM-1907,0.07228915662650602,0.5
CACM-1957,0.07142857142857142,0.5
CACM-2470,0.07058823529411765,0.5
CACM-2080,0.06976744186046512,0.5
CACM-1651,0.06896551724137931,0.5
CACM-1844,0.06818181818181818,0.5
CACM-2083,0.06741573033707865,0.5
CACM-2537,0.06666666666666667,0.5
CACM-3106,0.06593406593406594,0.5
CACM-1591,0.06521739130434782,0.5
CACM-2999,0.06451612903225806,0.5
CACM-1162,0.06382978723404255,0.5
CACM-1488,0.06315789473684211,0.5
CACM-1571,0.0625,0.5
CACM-0409,0.061855670103092786,0.5
CACM-1143,0.061224489795918366,0.5
CACM-2033,0.06060606060606061,0.5
CACM-3153,0.06,0.5
