QUERY = "code optimization space efficiency"
13 Q0 CACM-1947 1 14.407787810960453 BM25
13 Q0 CACM-2559 2 11.699275849368192 BM25
13 Q0 CACM-1795 3 10.665937802811039 BM25
13 Q0 CACM-2748 4 10.589188970813225 BM25
13 Q0 CACM-2491 5 10.34583226142585 BM25
13 Q0 CACM-2897 6 10.170857193563393 BM25
13 Q0 CACM-2680 7 10.126079406607676 BM25
13 Q0 CACM-3080 8 10.104302043938434 BM25
13 Q0 CACM-2495 9 9.950422823653138 BM25
13 Q0 CACM-3054 10 9.346513675207316 BM25
13 Q0 CACM-2537 11 9.074547194333093 BM25
13 Q0 CACM-1886 12 9.060677900742803 BM25
13 Q0 CACM-2253 13 8.453360040798444 BM25
13 Q0 CACM-2904 14 8.322664426270153 BM25
13 Q0 CACM-1195 15 8.28869719756505 BM25
13 Q0 CACM-2929 16 8.042144641977597 BM25
13 Q0 CACM-2944 17 7.910493324683337 BM25
13 Q0 CACM-1223 18 7.74715109532961 BM25
13 Q0 CACM-1651 19 7.2792248690907675 BM25
13 Q0 CACM-3171 20 7.250820993837197 BM25
13 Q0 CACM-1807 21 7.220213603536465 BM25
13 Q0 CACM-3083 22 7.157643201390068 BM25
13 Q0 CACM-1564 23 6.872681286054406 BM25
13 Q0 CACM-2374 24 6.765928039417062 BM25
13 Q0 CACM-1901 25 6.681946409721478 BM25
13 Q0 CACM-2701 26 6.662867735383262 BM25
13 Q0 CACM-2464 27 6.629311509561811 BM25
13 Q0 CACM-2858 28 6.629255243483824 BM25
13 Q0 CACM-3005 29 6.611319180448641 BM25
13 Q0 CACM-1362 30 6.405902186432134 BM25
13 Q0 CACM-2835 31 6.397173147411866 BM25
13 Q0 CACM-0048 32 6.340894696245906 BM25
13 Q0 CACM-1234 33 6.301100845955297 BM25
13 Q0 CACM-1231 34 6.201062920525778 BM25
13 Q0 CACM-2711 35 6.131066773510683 BM25
13 Q0 CACM-2856 36 6.078367742138873 BM25
13 Q0 CACM-1542 37 6.050416138760988 BM25
13 Q0 CACM-2645 38 5.933121943712214 BM25
13 Q0 CACM-1655 39 5.905600461040555 BM25
13 Q0 CACM-2033 40 5.869633720934896 BM25
13 Q0 CACM-2745 41 5.83374584924193 BM25
13 Q0 CACM-1235 42 5.809950513883937 BM25
13 Q0 CACM-1652 43 5.79069295753679 BM25
13 Q0 CACM-2423 44 5.740037967820786 BM25
13 Q0 CACM-3129 45 5.565505019525234 BM25
13 Q0 CACM-2344 46 5.482673730743892 BM25
13 Q0 CACM-2389 47 5.449111736491574 BM25
13 Q0 CACM-2078 48 5.430267959605777 BM25
13 Q0 CACM-1756 49 5.429970230812058 BM25
13 Q0 CACM-1369 50 5.419897244727588 BM25
13 Q0 CACM-0267 51 5.416934079112658 BM25
13 Q0 CACM-2892 52 5.403060343823686 BM25
13 Q0 CACM-0164 53 5.364408149977955 BM25
13 Q0 CACM-1676 54 5.363261676377607 BM25
13 Q0 CACM-0117 55 5.312891085786885 BM25
13 Q0 CACM-1641 56 5.231737545165537 BM25
13 Q0 CACM-3066 57 5.231572703462339 BM25
13 Q0 CACM-1465 58 5.21538967562045 BM25
13 Q0 CACM-2716 59 5.202187606778902 BM25
13 Q0 CACM-2433 60 5.200317807546456 BM25
13 Q0 CACM-2836 61 5.125820226471848 BM25
13 Q0 CACM-2508 62 5.116351665370085 BM25
13 Q0 CACM-2834 63 5.098180618852409 BM25
13 Q0 CACM-0195 64 5.094025434837112 BM25
13 Q0 CACM-1066 65 5.08521458716519 BM25
13 Q0 CACM-2533 66 5.0709425506396055 BM25
13 Q0 CACM-0149 67 5.069468043300493 BM25
13 Q0 CACM-2611 68 5.009098587202128 BM25
13 Q0 CACM-1969 69 4.978232112618685 BM25
13 Q0 CACM-0230 70 4.8945115935931485 BM25
13 Q0 CACM-0797 71 4.8945115935931485 BM25
13 Q0 CACM-1187 72 4.8470513946393945 BM25
13 Q0 CACM-0066 73 4.800502763205361 BM25
13 Q0 CACM-1289 74 4.800502763205361 BM25
13 Q0 CACM-2359 75 4.799561347725937 BM25
13 Q0 CACM-2722 76 4.756493640773698 BM25
13 Q0 CACM-1064 77 4.754839686404659 BM25
13 Q0 CACM-3154 78 4.745637300961825 BM25
13 Q0 CACM-1786 79 4.7347223412166475 BM25
13 Q0 CACM-1331 80 4.712404629559719 BM25
13 Q0 CACM-0333 81 4.7100371317782885 BM25
13 Q0 CACM-1232 82 4.7100371317782885 BM25
13 Q0 CACM-1275 83 4.7100371317782885 BM25
13 Q0 CACM-1670 84 4.69029632553782 BM25
13 Q0 CACM-2964 85 4.636917064864747 BM25
13 Q0 CACM-2950 86 4.626575130337294 BM25
13 Q0 CACM-3173 87 4.603899325304366 BM25
13 Q0 CACM-2498 88 4.588445719765392 BM25
13 Q0 CACM-1523 89 4.5827951282407025 BM25
13 Q0 CACM-1757 90 4.5827951282407025 BM25
13 Q0 CACM-2863 91 4.568422032472558 BM25
13 Q0 CACM-3125 92 4.563575063095053 BM25
13 Q0 CACM-0598 93 4.52984835725184 BM25
13 Q0 CACM-1065 94 4.498119126973249 BM25
13 Q0 CACM-2126 95 4.493058834970668 BM25
13 Q0 CACM-1552 96 4.490044942408896 BM25
13 Q0 CACM-0693 97 4.488688409314268 BM25
13 Q0 CACM-3110 98 4.480111352839909 BM25
13 Q0 CACM-3064 99 4.458777317701252 BM25
13 Q0 CACM-3018 100 4.419925749792307 BM25
