QUERY = "optimization intermediate machine code"
17 Q0 CACM-1223 1 15.232018090037565 BM25
17 Q0 CACM-1658 2 12.999081128643443 BM25
17 Q0 CACM-1947 3 12.350265210278177 BM25
17 Q0 CACM-2491 4 10.953776679524864 BM25
17 Q0 CACM-2253 5 10.909902753364172 BM25
17 Q0 CACM-1795 6 10.665937802811039 BM25
17 Q0 CACM-2897 7 10.170857193563393 BM25
17 Q0 CACM-3080 8 10.104302043938434 BM25
17 Q0 CACM-2748 9 10.016325674328137 BM25
17 Q0 CACM-2495 10 9.950422823653138 BM25
17 Q0 CACM-3054 11 9.346513675207316 BM25
17 Q0 CACM-1676 12 9.023537179696003 BM25
17 Q0 CACM-3005 13 8.485915021326585 BM25
17 Q0 CACM-2904 14 8.322664426270153 BM25
17 Q0 CACM-2929 15 8.042144641977597 BM25
17 Q0 CACM-1134 16 7.796151025665977 BM25
17 Q0 CACM-1154 17 7.624225111866802 BM25
17 Q0 CACM-1523 18 7.575740760336923 BM25
17 Q0 CACM-1807 19 7.220213603536465 BM25
17 Q0 CACM-1564 20 6.872681286054406 BM25
17 Q0 CACM-0123 21 6.843952068277087 BM25
17 Q0 CACM-1389 22 6.746963305116564 BM25
17 Q0 CACM-3171 23 6.746963305116564 BM25
17 Q0 CACM-2701 24 6.662867735383262 BM25
17 Q0 CACM-2464 25 6.629311509561811 BM25
17 Q0 CACM-2858 26 6.629255243483824 BM25
17 Q0 CACM-1886 27 6.624945990680318 BM25
17 Q0 CACM-1362 28 6.405902186432134 BM25
17 Q0 CACM-2835 29 6.397173147411866 BM25
17 Q0 CACM-0048 30 6.340894696245906 BM25
17 Q0 CACM-1231 31 6.201062920525778 BM25
17 Q0 CACM-1402 32 5.964567498885281 BM25
17 Q0 CACM-1655 33 5.905600461040555 BM25
17 Q0 CACM-1665 34 5.854800469580095 BM25
17 Q0 CACM-1652 35 5.79069295753679 BM25
17 Q0 CACM-2423 36 5.740037967820786 BM25
17 Q0 CACM-1542 37 5.629974275134066 BM25
17 Q0 CACM-0252 38 5.619117796209678 BM25
17 Q0 CACM-2344 39 5.482673730743892 BM25
17 Q0 CACM-1756 40 5.429970230812058 BM25
17 Q0 CACM-1783 41 5.385197056479827 BM25
17 Q0 CACM-2527 42 5.257097932041215 BM25
17 Q0 CACM-3066 43 5.231572703462339 BM25
17 Q0 CACM-1387 44 5.204641777923757 BM25
17 Q0 CACM-2433 45 5.200317807546456 BM25
17 Q0 CACM-2944 46 5.200317807546456 BM25
17 Q0 CACM-2836 47 5.125820226471848 BM25
17 Q0 CACM-2834 48 5.098180618852409 BM25
17 Q0 CACM-0195 49 5.094025434837112 BM25
17 Q0 CACM-1066 50 5.08521458716519 BM25
17 Q0 CACM-2533 51 5.0709425506396055 BM25
17 Q0 CACM-1162 52 5.037041120006879 BM25
17 Q0 CACM-2611 53 5.009098587202128 BM25
17 Q0 CACM-1392 54 5.0033390012334635 BM25
17 Q0 CACM-1062 55 4.971292766343353 BM25
17 Q0 CACM-1852 56 4.94928547447687 BM25
17 Q0 CACM-0230 57 4.8945115935931485 BM25
17 Q0 CACM-0797 58 4.8945115935931485 BM25
17 Q0 CACM-2106 59 4.870296460801146 BM25
17 Q0 CACM-2680 60 4.859717667625407 BM25
17 Q0 CACM-1187 61 4.8470513946393945 BM25
17 Q0 CACM-0066 62 4.800502763205361 BM25
17 Q0 CACM-1289 63 4.800502763205361 BM25
17 Q0 CACM-1029 64 4.757970181181564 BM25
17 Q0 CACM-1064 65 4.754839686404659 BM25
17 Q0 CACM-1786 66 4.7347223412166475 BM25
17 Q0 CACM-1331 67 4.712404629559719 BM25
17 Q0 CACM-0333 68 4.7100371317782885 BM25
17 Q0 CACM-1232 69 4.7100371317782885 BM25
17 Q0 CACM-1275 70 4.7100371317782885 BM25
17 Q0 CACM-2537 71 4.697151926381314 BM25
17 Q0 CACM-1670 72 4.69029632553782 BM25
17 Q0 CACM-2746 73 4.672787704840779 BM25
17 Q0 CACM-2964 74 4.636917064864747 BM25
17 Q0 CACM-3173 75 4.603899325304366 BM25
17 Q0 CACM-1757 76 4.5827951282407025 BM25
17 Q0 CACM-1167 77 4.565411491719757 BM25
17 Q0 CACM-3125 78 4.563575063095053 BM25
17 Q0 CACM-2871 79 4.53554257253012 BM25
17 Q0 CACM-3115 80 4.51059006953283 BM25
17 Q0 CACM-1651 81 4.500998521903924 BM25
17 Q0 CACM-2624 82 4.498514549980335 BM25
17 Q0 CACM-1065 83 4.498119126973249 BM25
17 Q0 CACM-0693 84 4.488688409314268 BM25
17 Q0 CACM-3110 85 4.480111352839909 BM25
17 Q0 CACM-0035 86 4.428920495163165 BM25
17 Q0 CACM-0091 87 4.428920495163165 BM25
17 Q0 CACM-3018 88 4.419925749792307 BM25
17 Q0 CACM-0093 89 4.418597013917352 BM25
17 Q0 CACM-1204 90 4.418597013917352 BM25
17 Q0 CACM-1414 91 4.418597013917352 BM25
17 Q0 CACM-2379 92 4.403242508065264 BM25
17 Q0 CACM-2079 93 4.3859749542585424 BM25
17 Q0 CACM-2552 94 4.379881120473677 BM25
17 Q0 CACM-2195 95 4.351439822235499 BM25
17 Q0 CACM-2411 96 4.349643062114279 BM25
17 Q0 CACM-0079 97 4.3438542678861065 BM25
17 Q0 CACM-0241 98 4.325300025102687 BM25
17 Q0 CACM-1486 99 4.304718146668521 BM25
17 Q0 CACM-0210 100 4.302534897638917 BM25
