QUERY = "distributed computing structures algorithms"
23 Q0 CACM-3148 1 12.825411124337144 BM25
23 Q0 CACM-2849 2 11.319890763275033 BM25
23 Q0 CACM-3137 3 11.142989084002267 BM25
23 Q0 CACM-2276 4 9.248317605442406 BM25
23 Q0 CACM-1745 5 8.842149210866697 BM25
23 Q0 CACM-2081 6 8.173234994862854 BM25
23 Q0 CACM-2406 7 8.112832521313276 BM25
23 Q0 CACM-1411 8 8.017612715291392 BM25
23 Q0 CACM-3082 9 7.97655307497511 BM25
23 Q0 CACM-3166 10 7.756091593765824 BM25
23 Q0 CACM-1873 11 7.630101240575964 BM25
23 Q0 CACM-2630 12 7.5820411869560616 BM25
23 Q0 CACM-2949 13 7.510786492595071 BM25
23 Q0 CACM-2578 14 7.251653591434352 BM25
23 Q0 CACM-3124 15 7.2405501023707695 BM25
23 Q0 CACM-3141 16 7.195023823188102 BM25
23 Q0 CACM-2832 17 7.117907326466549 BM25
23 Q0 CACM-3086 18 6.728885552710765 BM25
23 Q0 CACM-2766 19 6.646622026351995 BM25
23 Q0 CACM-2373 20 6.585012993437102 BM25
23 Q0 CACM-3043 21 6.526930083634777 BM25
23 Q0 CACM-3025 22 6.507827027475821 BM25
23 Q0 CACM-2130 23 6.496873340845551 BM25
23 Q0 CACM-0052 24 6.4768304687135 BM25
23 Q0 CACM-0088 25 6.4768304687135 BM25
23 Q0 CACM-2433 26 6.372008804801756 BM25
23 Q0 CACM-2890 27 6.368764698818161 BM25
23 Q0 CACM-2963 28 6.036823729805068 BM25
23 Q0 CACM-1946 29 5.94001421316092 BM25
23 Q0 CACM-2197 30 5.931391824819276 BM25
23 Q0 CACM-2169 31 5.915236448298208 BM25
23 Q0 CACM-1780 32 5.8787789690894465 BM25
23 Q0 CACM-2816 33 5.856818438181613 BM25
23 Q0 CACM-1862 34 5.853832270364381 BM25
23 Q0 CACM-1810 35 5.835193649292522 BM25
23 Q0 CACM-3011 36 5.6392334781574345 BM25
23 Q0 CACM-1525 37 5.6204442226332985 BM25
23 Q0 CACM-2828 38 5.571891952468959 BM25
23 Q0 CACM-3156 39 5.565955335826747 BM25
23 Q0 CACM-2855 40 5.524596745902859 BM25
23 Q0 CACM-2834 41 5.520245662176679 BM25
23 Q0 CACM-3035 42 5.4866051140211605 BM25
23 Q0 CACM-2454 43 5.471079219300994 BM25
23 Q0 CACM-2484 44 5.419339142766633 BM25
23 Q0 CACM-2999 45 5.4027361256345685 BM25
23 Q0 CACM-2114 46 5.314972766569304 BM25
23 Q0 CACM-2060 47 5.285335401418822 BM25
23 Q0 CACM-2092 48 5.283999338953144 BM25
23 Q0 CACM-2594 49 5.257288178433947 BM25
23 Q0 CACM-2155 50 5.253917382152554 BM25
23 Q0 CACM-1431 51 5.248308983612875 BM25
23 Q0 CACM-3032 52 5.2305253628406945 BM25
23 Q0 CACM-2371 53 5.22133844112957 BM25
23 Q0 CACM-1224 54 5.150521508552842 BM25
23 Q0 CACM-2216 55 5.147882780281001 BM25
23 Q0 CACM-2883 56 5.134871675432143 BM25
23 Q0 CACM-1831 57 5.061729691575726 BM25
23 Q0 CACM-2810 58 5.030985924441535 BM25
23 Q0 CACM-2314 59 5.027180012833291 BM25
23 Q0 CACM-3090 60 4.991904754619901 BM25
23 Q0 CACM-2926 61 4.962359559719461 BM25
23 Q0 CACM-1349 62 4.948735664950748 BM25
23 Q0 CACM-1889 63 4.903034547683639 BM25
23 Q0 CACM-2954 64 4.8723192753610505 BM25
23 Q0 CACM-0072 65 4.765828472129077 BM25
23 Q0 CACM-2402 66 4.736813133120281 BM25
23 Q0 CACM-1423 67 4.7195544414005095 BM25
23 Q0 CACM-2975 68 4.71927753457029 BM25
23 Q0 CACM-2709 69 4.715105443830142 BM25
23 Q0 CACM-2822 70 4.675821109652136 BM25
23 Q0 CACM-0147 71 4.67340365582553 BM25
23 Q0 CACM-3165 72 4.66582934749931 BM25
23 Q0 CACM-2900 73 4.664873353566692 BM25
23 Q0 CACM-2780 74 4.653249055243966 BM25
23 Q0 CACM-0481 75 4.6285226494970075 BM25
23 Q0 CACM-3037 76 4.6145927467624315 BM25
23 Q0 CACM-2969 77 4.603545393330004 BM25
23 Q0 CACM-2950 78 4.57823337997783 BM25
23 Q0 CACM-1869 79 4.577199115894042 BM25
23 Q0 CACM-1010 80 4.5650988399323325 BM25
23 Q0 CACM-3164 81 4.539813560419153 BM25
23 Q0 CACM-2325 82 4.537501740609348 BM25
23 Q0 CACM-2283 83 4.529819093893397 BM25
23 Q0 CACM-2198 84 4.5050787918107025 BM25
23 Q0 CACM-3158 85 4.501894465599998 BM25
23 Q0 CACM-0080 86 4.498906964558622 BM25
23 Q0 CACM-0627 87 4.483459226197246 BM25
23 Q0 CACM-0793 88 4.483459226197246 BM25
23 Q0 CACM-1551 89 4.428869839234416 BM25
23 Q0 CACM-1153 90 4.401037580065531 BM25
23 Q0 CACM-2311 91 4.398452055657107 BM25
23 Q0 CACM-0657 92 4.396510462134699 BM25
23 Q0 CACM-1658 93 4.3957833755375475 BM25
23 Q0 CACM-2665 94 4.376433238922736 BM25
23 Q0 CACM-3006 95 4.376167728215291 BM25
23 Q0 CACM-3084 96 4.373553213690511 BM25
23 Q0 CACM-2884 97 4.346977350549458 BM25
23 Q0 CACM-2273 98 4.346679870776978 BM25
23 Q0 CACM-2226 99 4.346419609373316 BM25
23 Q0 CACM-0069 100 4.336972039451515 BM25
