QUERY = "parallel processors information retrieval"
50 Q0 CACM-3156 1 12.720863251915201 BM25
50 Q0 CACM-2714 2 12.667896084531598 BM25
50 Q0 CACM-3075 3 10.819294249337606 BM25
50 Q0 CACM-1811 4 9.943215087147253 BM25
50 Q0 CACM-2114 5 9.878843784247564 BM25
50 Q0 CACM-0891 6 9.630863385951269 BM25
50 Q0 CACM-2497 7 9.347216311951446 BM25
50 Q0 CACM-2288 8 9.346346122187283 BM25
50 Q0 CACM-2278 9 9.24868855366832 BM25
50 Q0 CACM-2175 10 9.04711726098921 BM25
50 Q0 CACM-3134 11 8.963891268452887 BM25
50 Q0 CACM-2723 12 8.93143027323866 BM25
50 Q0 CACM-1457 13 8.848878018427863 BM25
50 Q0 CACM-1681 14 8.78843794250972 BM25
50 Q0 CACM-1699 15 8.703340860674743 BM25
50 Q0 CACM-1680 16 8.66478205321569 BM25
50 Q0 CACM-2570 17 8.382038050024066 BM25
50 Q0 CACM-1032 18 8.30038394485145 BM25
50 Q0 CACM-1830 19 8.10084588821057 BM25
50 Q0 CACM-2631 20 7.957685500450296 BM25
50 Q0 CACM-0634 21 7.924222010635802 BM25
50 Q0 CACM-1846 22 7.906358714236059 BM25
50 Q0 CACM-3012 23 7.865753393570266 BM25
50 Q0 CACM-0651 24 7.847383873471966 BM25
50 Q0 CACM-2070 25 7.847383873471966 BM25
50 Q0 CACM-0275 26 7.772021565564191 BM25
50 Q0 CACM-2516 27 7.703302210337767 BM25
50 Q0 CACM-2990 28 7.700174780331165 BM25
50 Q0 CACM-0239 29 7.625557565213503 BM25
50 Q0 CACM-0292 30 7.625557565213503 BM25
50 Q0 CACM-1514 31 7.446285827978306 BM25
50 Q0 CACM-2865 32 7.425414958140755 BM25
50 Q0 CACM-0082 33 7.318866911722257 BM25
50 Q0 CACM-1831 34 7.2175146660787135 BM25
50 Q0 CACM-2552 35 7.09103446077376 BM25
50 Q0 CACM-3168 36 7.0294422548204025 BM25
50 Q0 CACM-1825 37 6.9218843849057645 BM25
50 Q0 CACM-2781 38 6.90941294527569 BM25
50 Q0 CACM-3169 39 6.90941294527569 BM25
50 Q0 CACM-2160 40 6.871936542720061 BM25
50 Q0 CACM-2412 41 6.85092242366334 BM25
50 Q0 CACM-2307 42 6.823686098722762 BM25
50 Q0 CACM-1665 43 6.799133097607359 BM25
50 Q0 CACM-2140 44 6.731486769277521 BM25
50 Q0 CACM-1236 45 6.727902187415848 BM25
50 Q0 CACM-2846 46 6.708713236920245 BM25
50 Q0 CACM-2561 47 6.645170752012791 BM25
50 Q0 CACM-1262 48 6.62970109088149 BM25
50 Q0 CACM-0655 49 6.626538837861853 BM25
50 Q0 CACM-1359 50 6.5489628319277635 BM25
50 Q0 CACM-1627 51 6.520243744050388 BM25
50 Q0 CACM-2519 52 6.4803110248265305 BM25
50 Q0 CACM-1675 53 6.467665561315885 BM25
50 Q0 CACM-2700 54 6.440386609580307 BM25
50 Q0 CACM-2711 55 6.434959243927785 BM25
50 Q0 CACM-1959 56 6.4261789070847595 BM25
50 Q0 CACM-2882 57 6.41499242274031 BM25
50 Q0 CACM-1937 58 6.409688208386507 BM25
50 Q0 CACM-2685 59 6.403167528998182 BM25
50 Q0 CACM-2967 60 6.353337665473769 BM25
50 Q0 CACM-1927 61 6.347744627982438 BM25
50 Q0 CACM-0763 62 6.2221296710311504 BM25
50 Q0 CACM-2484 63 6.212134072363357 BM25
50 Q0 CACM-1725 64 6.2063128088687884 BM25
50 Q0 CACM-2973 65 6.108943063932203 BM25
50 Q0 CACM-0440 66 6.091883054796616 BM25
50 Q0 CACM-1158 67 6.057967556759937 BM25
50 Q0 CACM-0950 68 6.016025651938046 BM25
50 Q0 CACM-1828 69 5.973535546046134 BM25
50 Q0 CACM-0944 70 5.9617054564218055 BM25
50 Q0 CACM-2266 71 5.952514776040303 BM25
50 Q0 CACM-1652 72 5.9498359649708386 BM25
50 Q0 CACM-2785 73 5.931641430713912 BM25
50 Q0 CACM-2947 74 5.92416398042113 BM25
50 Q0 CACM-1960 75 5.917171519532856 BM25
50 Q0 CACM-2493 76 5.775338150585368 BM25
50 Q0 CACM-2455 77 5.7225312563702655 BM25
50 Q0 CACM-2258 78 5.694069052865986 BM25
50 Q0 CACM-2976 79 5.694069052865986 BM25
50 Q0 CACM-1527 80 5.669477047338038 BM25
50 Q0 CACM-2532 81 5.654286210150575 BM25
50 Q0 CACM-1468 82 5.616519361915656 BM25
50 Q0 CACM-2895 83 5.578486699797067 BM25
50 Q0 CACM-0141 84 5.575545518361915 BM25
50 Q0 CACM-1935 85 5.559254825873583 BM25
50 Q0 CACM-1747 86 5.543998292434613 BM25
50 Q0 CACM-3059 87 5.542901851526607 BM25
50 Q0 CACM-1684 88 5.5054025105352915 BM25
50 Q0 CACM-2722 89 5.4839136352344005 BM25
50 Q0 CACM-2832 90 5.341164388252048 BM25
50 Q0 CACM-1302 91 5.312867174681409 BM25
50 Q0 CACM-0303 92 5.284829873122672 BM25
50 Q0 CACM-1194 93 5.28405487697624 BM25
50 Q0 CACM-2401 94 5.283218728893386 BM25
50 Q0 CACM-2851 95 5.254933893359505 BM25
50 Q0 CACM-2557 96 5.241419407879601 BM25
50 Q0 CACM-2139 97 5.2374119737729075 BM25
50 Q0 CACM-2195 98 5.201981687083442 BM25
50 Q0 CACM-2388 99 5.183484293318178 BM25
50 Q0 CACM-0392 100 5.119897888676063 BM25
