QUERY = "parallel processors paging algorithms"
51 Q0 CACM-3156 1 15.19986440824804 BM25
51 Q0 CACM-3075 2 13.642873529352533 BM25
51 Q0 CACM-2714 3 12.667896084531598 BM25
51 Q0 CACM-3006 4 10.962696351357035 BM25
51 Q0 CACM-2723 5 10.904844972442154 BM25
51 Q0 CACM-2570 6 10.567134232924852 BM25
51 Q0 CACM-1811 7 9.943215087147253 BM25
51 Q0 CACM-2973 8 9.40081567237376 BM25
51 Q0 CACM-2497 9 9.347216311951446 BM25
51 Q0 CACM-2175 10 9.04711726098921 BM25
51 Q0 CACM-0950 11 8.646669559857733 BM25
51 Q0 CACM-2266 12 8.530590930892256 BM25
51 Q0 CACM-2365 13 8.33972497831141 BM25
51 Q0 CACM-2373 14 8.185344369318104 BM25
51 Q0 CACM-1810 15 8.044409496072017 BM25
51 Q0 CACM-1468 16 7.932358820130158 BM25
51 Q0 CACM-2863 17 7.855690638983669 BM25
51 Q0 CACM-2557 18 7.854304145596826 BM25
51 Q0 CACM-1728 19 7.537756483081721 BM25
51 Q0 CACM-0082 20 7.318866911722257 BM25
51 Q0 CACM-3153 21 7.258659879394435 BM25
51 Q0 CACM-2022 22 7.216353200850477 BM25
51 Q0 CACM-2085 23 7.216353200850477 BM25
51 Q0 CACM-1752 24 7.211547096803571 BM25
51 Q0 CACM-2277 25 7.027430273777403 BM25
51 Q0 CACM-3152 26 6.989056654281928 BM25
51 Q0 CACM-2128 27 6.925793765176671 BM25
51 Q0 CACM-1825 28 6.9218843849057645 BM25
51 Q0 CACM-1665 29 6.799133097607359 BM25
51 Q0 CACM-2289 30 6.73140633054949 BM25
51 Q0 CACM-1262 31 6.62970109088149 BM25
51 Q0 CACM-2017 32 6.498358945200946 BM25
51 Q0 CACM-1964 33 6.467193578110283 BM25
51 Q0 CACM-2700 34 6.440386609580307 BM25
51 Q0 CACM-2685 35 6.403167528998182 BM25
51 Q0 CACM-2450 36 6.400801109976327 BM25
51 Q0 CACM-2645 37 6.283742348087161 BM25
51 Q0 CACM-0763 38 6.2221296710311504 BM25
51 Q0 CACM-1957 39 6.209750448416017 BM25
51 Q0 CACM-1158 40 6.057967556759937 BM25
51 Q0 CACM-2433 41 6.054999087295087 BM25
51 Q0 CACM-2498 42 6.017415509438505 BM25
51 Q0 CACM-2114 43 6.0133993752765065 BM25
51 Q0 CACM-1828 44 5.973535546046134 BM25
51 Q0 CACM-2692 45 5.9403941663348405 BM25
51 Q0 CACM-2785 46 5.931641430713912 BM25
51 Q0 CACM-1924 47 5.708497868057687 BM25
51 Q0 CACM-2872 48 5.703930186837662 BM25
51 Q0 CACM-1884 49 5.612159478008054 BM25
51 Q0 CACM-2895 50 5.578486699797067 BM25
51 Q0 CACM-0141 51 5.575545518361915 BM25
51 Q0 CACM-3059 52 5.542901851526607 BM25
51 Q0 CACM-1684 53 5.5054025105352915 BM25
51 Q0 CACM-2865 54 5.471189229528649 BM25
51 Q0 CACM-2068 55 5.437711757476248 BM25
51 Q0 CACM-1302 56 5.312867174681409 BM25
51 Q0 CACM-0303 57 5.284829873122672 BM25
51 Q0 CACM-2401 58 5.283218728893386 BM25
51 Q0 CACM-2851 59 5.254933893359505 BM25
51 Q0 CACM-1846 60 5.234174855939929 BM25
51 Q0 CACM-2669 61 5.207102048413594 BM25
51 Q0 CACM-2195 62 5.201981687083442 BM25
51 Q0 CACM-1601 63 5.186694663182281 BM25
51 Q0 CACM-0392 64 5.119897888676063 BM25
51 Q0 CACM-1795 65 5.073826126818674 BM25
51 Q0 CACM-2016 66 5.0622036516070015 BM25
51 Q0 CACM-2297 67 5.019745228271964 BM25
51 Q0 CACM-2914 68 4.975726018323265 BM25
51 Q0 CACM-2095 69 4.954566302256208 BM25
51 Q0 CACM-2080 70 4.9427641934918825 BM25
51 Q0 CACM-1988 71 4.862789671436842 BM25
51 Q0 CACM-2522 72 4.773222180588302 BM25
51 Q0 CACM-2069 73 4.7698455268922615 BM25
51 Q0 CACM-2838 74 4.764571151878217 BM25
51 Q0 CACM-1852 75 4.756832502558544 BM25
51 Q0 CACM-2579 76 4.726683390817983 BM25
51 Q0 CACM-1389 77 4.723126882152213 BM25
51 Q0 CACM-3166 78 4.708180964953133 BM25
51 Q0 CACM-1923 79 4.624816313288872 BM25
51 Q0 CACM-2342 80 4.604966678979032 BM25
51 Q0 CACM-2950 81 4.57823337997783 BM25
51 Q0 CACM-2380 82 4.548376445763963 BM25
51 Q0 CACM-2325 83 4.537501740609348 BM25
51 Q0 CACM-2740 84 4.530277848715379 BM25
51 Q0 CACM-2283 85 4.529819093893397 BM25
51 Q0 CACM-1569 86 4.5061423723670355 BM25
51 Q0 CACM-1025 87 4.469755135590322 BM25
51 Q0 CACM-2667 88 4.456211772143622 BM25
51 Q0 CACM-1551 89 4.428869839234416 BM25
51 Q0 CACM-2896 90 4.426121157546463 BM25
51 Q0 CACM-1658 91 4.3957833755375475 BM25
51 Q0 CACM-2137 92 4.393991188544046 BM25
51 Q0 CACM-2884 93 4.346977350549458 BM25
51 Q0 CACM-2273 94 4.346679870776978 BM25
51 Q0 CACM-2226 95 4.346419609373316 BM25
51 Q0 CACM-2664 96 4.2968759715071085 BM25
51 Q0 CACM-2166 97 4.269354610943165 BM25
51 Q0 CACM-1008 98 4.267413151173426 BM25
51 Q0 CACM-1200 99 4.267413151173426 BM25
51 Q0 CACM-2767 100 4.260553424225227 BM25
