QUERY = "modelling simulation agricultural ecosystems"
52 Q0 CACM-2721 1 15.550007004668508 BM25
52 Q0 CACM-2749 2 6.121998511396847 BM25
52 Q0 CACM-2767 3 5.830465649274242 BM25
52 Q0 CACM-1366 4 5.770513611114108 BM25
52 Q0 CACM-3070 5 5.681323280695684 BM25
52 Q0 CACM-1030 6 5.628762515298905 BM25
52 Q0 CACM-1928 7 5.605472895348732 BM25
52 Q0 CACM-1890 8 5.417494810138591 BM25
52 Q0 CACM-0678 9 5.341842174805185 BM25
52 Q0 CACM-2742 10 5.294255757597391 BM25
52 Q0 CACM-3048 11 5.166165103090295 BM25
52 Q0 CACM-1870 12 5.154522830647319 BM25
52 Q0 CACM-1637 13 5.031028674029871 BM25
52 Q0 CACM-2062 14 4.979895659281076 BM25
52 Q0 CACM-2970 15 4.95934173359795 BM25
52 Q0 CACM-1695 16 4.9271915070813534 BM25
52 Q0 CACM-2914 17 4.880685661453171 BM25
52 Q0 CACM-1380 18 4.84763574980722 BM25
52 Q0 CACM-0557 19 4.845079899620783 BM25
52 Q0 CACM-0757 20 4.845079899620783 BM25
52 Q0 CACM-1207 21 4.797639004680584 BM25
52 Q0 CACM-1208 22 4.751118142013002 BM25
52 Q0 CACM-1329 23 4.751118142013002 BM25
52 Q0 CACM-0238 24 4.705490805043416 BM25
52 Q0 CACM-3064 25 4.663885375694227 BM25
52 Q0 CACM-1912 26 4.663096505608497 BM25
52 Q0 CACM-2725 27 4.660731495734692 BM25
52 Q0 CACM-0643 28 4.531420902109796 BM25
52 Q0 CACM-0633 29 4.489897285496277 BM25
52 Q0 CACM-1805 30 4.411914377108105 BM25
52 Q0 CACM-1261 31 4.411208436977741 BM25
52 Q0 CACM-2344 32 4.402356570234171 BM25
52 Q0 CACM-2261 33 4.391440608667135 BM25
52 Q0 CACM-0104 34 4.3718491600131655 BM25
52 Q0 CACM-2798 35 4.333867229322762 BM25
52 Q0 CACM-3061 36 4.3311437667619455 BM25
52 Q0 CACM-1427 37 4.221193723737707 BM25
52 Q0 CACM-1812 38 4.183233256363535 BM25
52 Q0 CACM-1680 39 4.150318494461653 BM25
52 Q0 CACM-2936 40 4.103968620574152 BM25
52 Q0 CACM-1894 41 4.0787645222199815 BM25
52 Q0 CACM-2057 42 4.0787645222199815 BM25
52 Q0 CACM-2549 43 4.0787645222199815 BM25
52 Q0 CACM-1435 44 4.046872920603286 BM25
52 Q0 CACM-1752 45 3.939006184437272 BM25
52 Q0 CACM-1288 46 3.915781830008164 BM25
52 Q0 CACM-1728 47 3.871026797695476 BM25
52 Q0 CACM-1846 48 3.825689924207462 BM25
52 Q0 CACM-1541 49 3.7944833137237453 BM25
52 Q0 CACM-2272 50 3.765323862452373 BM25
52 Q0 CACM-2902 51 3.7562401588803467 BM25
52 Q0 CACM-2542 52 3.738129131491088 BM25
52 Q0 CACM-2077 53 3.7083290978498393 BM25
52 Q0 CACM-2951 54 3.6274316124202843 BM25
52 Q0 CACM-1856 55 3.6189770344005128 BM25
52 Q0 CACM-1484 56 3.599363761635857 BM25
52 Q0 CACM-2375 57 3.5875917461627056 BM25
52 Q0 CACM-3107 58 3.5731157033009464 BM25
52 Q0 CACM-1572 59 3.4654038823186206 BM25
52 Q0 CACM-1253 60 3.423329637791079 BM25
52 Q0 CACM-2262 61 3.3995777538876615 BM25
52 Q0 CACM-1811 62 3.3542731220255226 BM25
52 Q0 CACM-2829 63 3.3542731220255226 BM25
52 Q0 CACM-1165 64 3.35304923079534 BM25
52 Q0 CACM-1199 65 3.307777142233557 BM25
52 Q0 CACM-2686 66 3.307777142233557 BM25
52 Q0 CACM-0605 67 3.285596463716 BM25
52 Q0 CACM-3051 68 3.2637112739259173 BM25
52 Q0 CACM-2218 69 3.260019279855928 BM25
52 Q0 CACM-2955 70 3.158517652252882 BM25
52 Q0 CACM-2911 71 3.1464377545140065 BM25
52 Q0 CACM-1426 72 3.1382874422743656 BM25
52 Q0 CACM-1518 73 3.098594632572617 BM25
52 Q0 CACM-2882 74 2.9772177649753804 BM25
52 Q0 CACM-2652 75 2.9672416079456543 BM25
52 Q0 CACM-1674 76 2.94938051297044 BM25
52 Q0 CACM-1234 77 2.9317331585230817 BM25
52 Q0 CACM-2276 78 2.9142957307315593 BM25
52 Q0 CACM-1716 79 2.8632062057656245 BM25
52 Q0 CACM-2091 80 2.8632062057656245 BM25
52 Q0 CACM-3042 81 2.8301301742407516 BM25
52 Q0 CACM-1166 82 2.813877085830523 BM25
52 Q0 CACM-2596 83 2.7353336670048654 BM25
52 Q0 CACM-2862 84 2.7353336670048654 BM25
52 Q0 CACM-1933 85 2.7201482317270944 BM25
52 Q0 CACM-1845 86 2.6902776259860546 BM25
52 Q0 CACM-2105 87 2.6755869919920197 BM25
52 Q0 CACM-2859 88 2.6755869919920197 BM25
52 Q0 CACM-2349 89 2.6466818456108725 BM25
52 Q0 CACM-1517 90 2.604476467631133 BM25
52 Q0 CACM-2918 91 2.5907055507645973 BM25
52 Q0 CACM-2535 92 2.5635960198416856 BM25
52 Q0 CACM-2233 93 2.557618686814474 BM25
52 Q0 CACM-0675 94 2.5239790771783133 BM25
52 Q0 CACM-2682 95 2.5239790771783133 BM25
52 Q0 CACM-2628 96 2.4982410972616984 BM25
52 Q0 CACM-2844 97 2.4606035245085094 BM25
52 Q0 CACM-2734 98 2.455096306827505 BM25
52 Q0 CACM-2890 99 2.43613558176384 BM25
52 Q0 CACM-1653 100 2.3655668529063587 BM25
