Result,Precision,Recall
CACM-2651,1.0,0.08333333333333333
CACM-2956,0.5,0.08333333333333333
CACM-2265,0.6666666666666666,0.16666666666666666
CACM-3031,0.5,0.16666666666666666
CACM-2376,0.4,0.16666666666666666
CACM-0676,0.3333333333333333,0.16666666666666666
CACM-0618,0.2857142857142857,0.16666666666666666
CACM-2244,0.25,0.16666666666666666
CACM-2243,0.2222222222222222,0.16666666666666666
CACM-3105,0.2,0.16666666666666666
CACM-3103,0.18181818181818182,0.16666666666666666
CACM-1828,0.16666666666666666,0.16666666666666666
CACM-2241,0.15384615384615385,0.16666666666666666
CACM-2242,0.14285714285714285,0.16666666666666666
CACM-0033,0.13333333333333333,0.16666666666666666
CACM-1736,0.125,0.16666666666666666
CACM-1398,0.11764705882352941,0.16666666666666666
CACM-2632,0.16666666666666666,0.25
CACM-2080,0.15789473684210525,0.25
CACM-0024,0.15,0.25
CACM-2406,0.14285714285714285,0.25
CACM-1922,0.13636363636363635,0.25
CACM-2023,0.13043478260869565,0.25
CACM-2958,0.125,0.25
CACM-0582,0.12,0.25
CACM-2084,0.11538461538461539,0.25
CACM-0583,0.1111111111111111,0.25
CACM-2560,0.10714285714285714,0.25
CACM-1181,0.10344827586206896,0.25
CACM-1162,0.1,0.25
CACM-0243,0.0967741935483871,0.25
CACM-2371,0.09375,0.25
CACM-0242,0.09090909090909091,0.25
CACM-2768,0.08823529411764706,0.25
CACM-3141,0.08571428571428572,0.25
CACM-0982,0.08333333333333333,0.25
CACM-1960,0.08108108108108109,0.25
CACM-1244,0.07894736842105263,0.25
CACM-2537,0.07692307692307693,0.25
CACM-1482,0.075,0.25
CACM-1484,0.07317073170731707,0.25
CACM-1950,0.07142857142857142,0.25
CACM-2341,0.06976744186046512,0.25
CACM-0483,0.06818181818181818,0.25
CACM-3142,0.06666666666666667,0.25
CACM-0251,0.06521739130434782,0.25
CACM-1065,0.06382978723404255,0.25
CACM-2558,0.08333333333333333,0.3333333333333333
CACM-1626,0.08163265306122448,0.3333333333333333
CACM-2957,0.08,0.3333333333333333
CACM-1439,0.0784313725490196,0.3333333333333333
CACM-2083,0.07692307692307693,0.3333333333333333
CACM-1426,0.07547169811320754,0.3333333333333333
CACM-2867,0.07407407407407407,0.3333333333333333
CACM-1505,0.07272727272727272,0.3333333333333333
CACM-1152,0.07142857142857142,0.3333333333333333
CACM-1868,0.07017543859649122,0.3333333333333333
CACM-0696,0.06896551724137931,0.3333333333333333
CACM-2912,0.06779661016949153,0.3333333333333333
CACM-1034,0.06666666666666667,0.3333333333333333
CACM-2162,0.06557377049180328,0.3333333333333333
CACM-1515,0.06451612903225806,0.3333333333333333
CACM-2379,0.06349206349206349,0.3333333333333333
CACM-1907,0.0625,0.3333333333333333
CACM-1213,0.06153846153846154,0.3333333333333333
CACM-1937,0.06060606060606061,0.3333333333333333
CACM-1410,0.05970149253731343,0.3333333333333333
CACM-1719,0.058823529411764705,0.3333333333333333
CACM-2378,0.057971014492753624,0.3333333333333333
CACM-0605,0.05714285714285714,0.3333333333333333
CACM-2561,0.056338028169014086,0.3333333333333333
CACM-3082,0.05555555555555555,0.3333333333333333
CACM-1033,0.0547945205479452,0.3333333333333333
CACM-1591,0.05405405405405406,0.3333333333333333
CACM-3071,0.05333333333333334,0.3333333333333333
CACM-2948,0.05263157894736842,0.3333333333333333
CACM-2167,0.05194805194805195,0.3333333333333333
CACM-1827,0.05128205128205128,0.3333333333333333
CACM-2060,0.05063291139240506,0.3333333333333333
CACM-2155,0.05,0.3333333333333333
CACM-1571,0.04938271604938271,0.3333333333333333
CACM-1587,0.04878048780487805,0.3333333333333333
CACM-2937,0.04819277108433735,0.3333333333333333
CACM-3021,0.047619047619047616,0.3333333333333333
CACM-1432,0.047058823529411764,0.3333333333333333
CACM-3106,0.046511627906976744,0.3333333333333333
CACM-1226,0.04597701149425287,0.3333333333333333
CACM-2597,0.045454545454545456,0.3333333333333333
CACM-0656,0.0449438202247191,0.3333333333333333
CACM-2593,0.044444444444444446,0.3333333333333333
CACM-0972,0.04395604395604396,0.3333333333333333
CACM-0492,0.043478260869565216,0.3333333333333333
CACM-1359,0.043010752688172046,0.3333333333333333
CACM-3048,0.0425531914893617,0.3333333333333333
CACM-3006,0.042105263157894736,0.3333333333333333
CACM-2320,0.041666666666666664,0.3333333333333333
CACM-1787,0.041237113402061855,0.3333333333333333
CACM-1281,0.04081632653061224,0.3333333333333333
CACM-0655,0.04040404040404041,0.3333333333333333
CACM-1523,0.04,0.3333333333333333
