QUERY = "setl high level languages"
11 Q0 CACM-2316 1 0.44927097184125336 tf-idf
11 Q0 CACM-1923 2 0.3704025607107451 tf-idf
11 Q0 CACM-2699 3 0.3242789029855636 tf-idf
11 Q0 CACM-0249 4 0.3217783972904912 tf-idf
11 Q0 CACM-3148 5 0.29078160308672085 tf-idf
11 Q0 CACM-2717 6 0.257474950737957 tf-idf
11 Q0 CACM-3150 7 0.2495645237891104 tf-idf
11 Q0 CACM-2527 8 0.2444830022758026 tf-idf
11 Q0 CACM-0795 9 0.21855567538227402 tf-idf
11 Q0 CACM-1366 10 0.21190284699617712 tf-idf
11 Q0 CACM-1466 11 0.20685754111531576 tf-idf
11 Q0 CACM-1642 12 0.2064136934165921 tf-idf
11 Q0 CACM-3080 13 0.2000724132886999 tf-idf
11 Q0 CACM-2246 14 0.1959916930862225 tf-idf
11 Q0 CACM-3171 15 0.1954902403751155 tf-idf
11 Q0 CACM-1861 16 0.1948471422379573 tf-idf
11 Q0 CACM-0463 17 0.1930670383742947 tf-idf
11 Q0 CACM-0920 18 0.1930670383742947 tf-idf
11 Q0 CACM-2814 19 0.1930670383742947 tf-idf
11 Q0 CACM-3057 20 0.18733343604194916 tf-idf
11 Q0 CACM-0628 21 0.1810003484759013 tf-idf
11 Q0 CACM-0651 22 0.1810003484759013 tf-idf
11 Q0 CACM-0762 23 0.1810003484759013 tf-idf
11 Q0 CACM-1860 24 0.17410153192367767 tf-idf
11 Q0 CACM-1835 25 0.17387557275664284 tf-idf
11 Q0 CACM-1459 26 0.17035326915378946 tf-idf
11 Q0 CACM-2705 27 0.16921471727642604 tf-idf
11 Q0 CACM-1306 28 0.1654860328922526 tf-idf
11 Q0 CACM-0265 29 0.165286301427827 tf-idf
11 Q0 CACM-1472 30 0.16437587179763158 tf-idf
11 Q0 CACM-1852 31 0.16392484390270307 tf-idf
11 Q0 CACM-3077 32 0.15589027520397394 tf-idf
11 Q0 CACM-2906 33 0.15055322632147153 tf-idf
11 Q0 CACM-3123 34 0.14861785925994633 tf-idf
11 Q0 CACM-2317 35 0.14626290785931417 tf-idf
11 Q0 CACM-1703 36 0.14601708784610526 tf-idf
11 Q0 CACM-2198 37 0.14265504027373294 tf-idf
11 Q0 CACM-1678 38 0.14012930204585908 tf-idf
11 Q0 CACM-1496 39 0.1379050274102105 tf-idf
11 Q0 CACM-2782 40 0.1379050274102105 tf-idf
11 Q0 CACM-1627 41 0.13269451719638065 tf-idf
11 Q0 CACM-2867 42 0.13269451719638065 tf-idf
11 Q0 CACM-1467 43 0.13163661707338276 tf-idf
11 Q0 CACM-2295 44 0.13163661707338276 tf-idf
11 Q0 CACM-2645 45 0.13045070160425318 tf-idf
11 Q0 CACM-2320 46 0.12567229738400282 tf-idf
11 Q0 CACM-0724 47 0.125012878477581 tf-idf
11 Q0 CACM-1903 48 0.1232819038482237 tf-idf
11 Q0 CACM-1485 49 0.12236643277244032 tf-idf
11 Q0 CACM-0689 50 0.12066689898393419 tf-idf
11 Q0 CACM-2406 51 0.12066689898393419 tf-idf
11 Q0 CACM-0281 52 0.11271488351837596 tf-idf
11 Q0 CACM-1872 53 0.11271488351837596 tf-idf
11 Q0 CACM-2603 54 0.11067537231647467 tf-idf
11 Q0 CACM-0731 55 0.10838445995267343 tf-idf
11 Q0 CACM-2305 56 0.10725946576349706 tf-idf
11 Q0 CACM-2647 57 0.10725946576349706 tf-idf
11 Q0 CACM-1462 58 0.10615561375710451 tf-idf
11 Q0 CACM-2081 59 0.10451953445798255 tf-idf
11 Q0 CACM-2003 60 0.10191271633235346 tf-idf
11 Q0 CACM-2787 61 0.09806822315638339 tf-idf
11 Q0 CACM-0479 62 0.09777490740785942 tf-idf
11 Q0 CACM-1552 63 0.09696794183090907 tf-idf
11 Q0 CACM-2922 64 0.09466105685346901 tf-idf
11 Q0 CACM-3105 65 0.09242570986003469 tf-idf
11 Q0 CACM-2091 66 0.0911960405314502 tf-idf
11 Q0 CACM-2254 67 0.09050017423795065 tf-idf
11 Q0 CACM-1188 68 0.08952883087948575 tf-idf
11 Q0 CACM-1223 69 0.08884449998386466 tf-idf
11 Q0 CACM-2661 70 0.0877577447155885 tf-idf
11 Q0 CACM-2956 71 0.0877577447155885 tf-idf
11 Q0 CACM-1553 72 0.08640573212787578 tf-idf
11 Q0 CACM-2897 73 0.08640573212787578 tf-idf
11 Q0 CACM-2593 74 0.08511630449602019 tf-idf
11 Q0 CACM-3101 75 0.0826431507139135 tf-idf
11 Q0 CACM-1676 76 0.08237061725421309 tf-idf
11 Q0 CACM-2716 77 0.08193013266996595 tf-idf
11 Q0 CACM-2826 78 0.08063649899622966 tf-idf
11 Q0 CACM-0990 79 0.0804445993226228 tf-idf
11 Q0 CACM-2084 80 0.0804445993226228 tf-idf
11 Q0 CACM-2126 81 0.0804445993226228 tf-idf
11 Q0 CACM-2873 82 0.0804445993226228 tf-idf
11 Q0 CACM-1098 83 0.08016624430766563 tf-idf
11 Q0 CACM-0949 84 0.07621067304248476 tf-idf
11 Q0 CACM-0111 85 0.07586578698352228 tf-idf
11 Q0 CACM-1769 86 0.0754808687935814 tf-idf
11 Q0 CACM-2493 87 0.07443435704043695 tf-idf
11 Q0 CACM-2928 88 0.07430892962997317 tf-idf
11 Q0 CACM-0303 89 0.07425655322088258 tf-idf
11 Q0 CACM-2652 90 0.07425655322088258 tf-idf
11 Q0 CACM-0252 91 0.07285189179409134 tf-idf
11 Q0 CACM-0205 92 0.07240013939036052 tf-idf
11 Q0 CACM-2192 93 0.07240013939036052 tf-idf
11 Q0 CACM-2546 94 0.07240013939036052 tf-idf
11 Q0 CACM-3119 95 0.0714508938749742 tf-idf
11 Q0 CACM-2542 96 0.07093025374668349 tf-idf
11 Q0 CACM-2765 97 0.07077040917140302 tf-idf
11 Q0 CACM-1395 98 0.07063428233205904 tf-idf
11 Q0 CACM-2650 99 0.07063428233205904 tf-idf
11 Q0 CACM-1163 100 0.06895251370510525 tf-idf
