QUERY = "code optimization space efficiency"
13 Q0 CACM-2491 1 0.5628136694241683 tf-idf
13 Q0 CACM-2748 2 0.5600632698294729 tf-idf
13 Q0 CACM-1795 3 0.4455657342368643 tf-idf
13 Q0 CACM-1362 4 0.38086271211631967 tf-idf
13 Q0 CACM-2897 5 0.35179462098215214 tf-idf
13 Q0 CACM-0048 6 0.3497718784741711 tf-idf
13 Q0 CACM-2464 7 0.34891352759918093 tf-idf
13 Q0 CACM-1947 8 0.31564311656222077 tf-idf
13 Q0 CACM-2495 9 0.3145169888730807 tf-idf
13 Q0 CACM-0195 10 0.3116149462769888 tf-idf
13 Q0 CACM-1231 11 0.28429991137711036 tf-idf
13 Q0 CACM-0267 12 0.25211305780265725 tf-idf
13 Q0 CACM-1655 13 0.2520415006652116 tf-idf
13 Q0 CACM-2835 14 0.24368563832323747 tf-idf
13 Q0 CACM-2680 15 0.23930720029286118 tf-idf
13 Q0 CACM-2711 16 0.23890126256374067 tf-idf
13 Q0 CACM-0164 17 0.23635599168999116 tf-idf
13 Q0 CACM-3080 18 0.2318876557224851 tf-idf
13 Q0 CACM-0230 19 0.2285176272697918 tf-idf
13 Q0 CACM-0797 20 0.2285176272697918 tf-idf
13 Q0 CACM-2745 21 0.22396993365350687 tf-idf
13 Q0 CACM-0117 22 0.22245269806116816 tf-idf
13 Q0 CACM-2559 23 0.2211768946615224 tf-idf
13 Q0 CACM-1187 24 0.21423527556542982 tf-idf
13 Q0 CACM-1652 25 0.20864652924633165 tf-idf
13 Q0 CACM-0066 26 0.20163320053216924 tf-idf
13 Q0 CACM-1289 27 0.20163320053216924 tf-idf
13 Q0 CACM-3054 28 0.1990633756887087 tf-idf
13 Q0 CACM-1064 29 0.19043135605815983 tf-idf
13 Q0 CACM-1756 30 0.1869689677661933 tf-idf
13 Q0 CACM-1369 31 0.1837702019721082 tf-idf
13 Q0 CACM-0333 32 0.18040865310773035 tf-idf
13 Q0 CACM-1232 33 0.18040865310773035 tf-idf
13 Q0 CACM-1275 34 0.18040865310773035 tf-idf
13 Q0 CACM-2508 35 0.1800807555733266 tf-idf
13 Q0 CACM-2537 36 0.1746251233422847 tf-idf
13 Q0 CACM-0149 37 0.17189526668362995 tf-idf
13 Q0 CACM-2645 38 0.1703466606774711 tf-idf
13 Q0 CACM-2904 39 0.1657292838243113 tf-idf
13 Q0 CACM-3129 40 0.16288722447527773 tf-idf
13 Q0 CACM-2389 41 0.1604560718711691 tf-idf
13 Q0 CACM-1195 42 0.15949400986236537 tf-idf
13 Q0 CACM-2533 43 0.15943090274636637 tf-idf
13 Q0 CACM-2078 44 0.15809642375541663 tf-idf
13 Q0 CACM-1969 45 0.15757066112666077 tf-idf
13 Q0 CACM-2929 46 0.15564490437312342 tf-idf
13 Q0 CACM-2611 47 0.15352195214363962 tf-idf
13 Q0 CACM-2253 48 0.14981058170387357 tf-idf
13 Q0 CACM-3066 49 0.1458623152785905 tf-idf
13 Q0 CACM-1065 50 0.14282351704361987 tf-idf
13 Q0 CACM-1223 51 0.13887763145045123 tf-idf
13 Q0 CACM-2892 52 0.13191962326883228 tf-idf
13 Q0 CACM-0093 53 0.13183709265564914 tf-idf
13 Q0 CACM-1204 54 0.13183709265564914 tf-idf
13 Q0 CACM-1414 55 0.13183709265564914 tf-idf
13 Q0 CACM-2834 56 0.13183709265564914 tf-idf
13 Q0 CACM-1066 57 0.1305815012970239 tf-idf
13 Q0 CACM-1465 58 0.13040330575999512 tf-idf
13 Q0 CACM-3171 59 0.12983858050931457 tf-idf
13 Q0 CACM-1641 60 0.12798281923057533 tf-idf
13 Q0 CACM-1886 61 0.12787884212693915 tf-idf
13 Q0 CACM-2552 62 0.12695423737210654 tf-idf
13 Q0 CACM-1651 63 0.12558025976946866 tf-idf
13 Q0 CACM-1676 64 0.12380802592229001 tf-idf
13 Q0 CACM-2344 65 0.12223085361754746 tf-idf
13 Q0 CACM-1786 66 0.12027243540515357 tf-idf
13 Q0 CACM-3083 67 0.12015767126811226 tf-idf
13 Q0 CACM-1331 68 0.11819877272575438 tf-idf
13 Q0 CACM-2836 69 0.11809380934126125 tf-idf
13 Q0 CACM-1670 70 0.1161954036965043 tf-idf
13 Q0 CACM-1807 71 0.11566522933571727 tf-idf
13 Q0 CACM-2586 72 0.1142588136348959 tf-idf
13 Q0 CACM-2964 73 0.11288378834091148 tf-idf
13 Q0 CACM-3173 74 0.10881791774751991 tf-idf
13 Q0 CACM-0598 75 0.10804845334399596 tf-idf
13 Q0 CACM-1345 76 0.10711763778271491 tf-idf
13 Q0 CACM-1523 77 0.10711763778271491 tf-idf
13 Q0 CACM-1757 78 0.10711763778271491 tf-idf
13 Q0 CACM-2126 79 0.10504710741777384 tf-idf
13 Q0 CACM-1564 80 0.1048389962910269 tf-idf
13 Q0 CACM-2374 81 0.1022946500763329 tf-idf
13 Q0 CACM-2359 82 0.10142034731479557 tf-idf
13 Q0 CACM-0693 83 0.10100128430502606 tf-idf
13 Q0 CACM-3005 84 0.10037545919759486 tf-idf
13 Q0 CACM-2858 85 0.09953168784435434 tf-idf
13 Q0 CACM-1901 86 0.09952992980399958 tf-idf
13 Q0 CACM-3110 87 0.09935549011730078 tf-idf
13 Q0 CACM-2701 88 0.09810621671270409 tf-idf
13 Q0 CACM-1352 89 0.0969665606933297 tf-idf
13 Q0 CACM-2498 90 0.0968518632015165 tf-idf
13 Q0 CACM-3154 91 0.0957391358744268 tf-idf
13 Q0 CACM-2863 92 0.09556050502549628 tf-idf
13 Q0 CACM-2944 93 0.09442315452716006 tf-idf
13 Q0 CACM-0124 94 0.09264228132559128 tf-idf
13 Q0 CACM-0794 95 0.0918851009860541 tf-idf
13 Q0 CACM-2411 96 0.09138211437121405 tf-idf
13 Q0 CACM-1552 97 0.09072199844192683 tf-idf
13 Q0 CACM-1234 98 0.09011825345108421 tf-idf
13 Q0 CACM-2950 99 0.08898107922446725 tf-idf
13 Q0 CACM-1259 100 0.0874029009379539 tf-idf
