QUERY = "optimization intermediate machine code"
17 Q0 CACM-2491 1 0.6168777013163697 tf-idf
17 Q0 CACM-2748 2 0.5474364944816588 tf-idf
17 Q0 CACM-1795 3 0.4455657342368643 tf-idf
17 Q0 CACM-1362 4 0.38086271211631967 tf-idf
17 Q0 CACM-2897 5 0.35179462098215214 tf-idf
17 Q0 CACM-0048 6 0.3497718784741711 tf-idf
17 Q0 CACM-2464 7 0.34891352759918093 tf-idf
17 Q0 CACM-2495 8 0.3145169888730807 tf-idf
17 Q0 CACM-0195 9 0.3116149462769888 tf-idf
17 Q0 CACM-1231 10 0.28429991137711036 tf-idf
17 Q0 CACM-1947 11 0.2521136382266103 tf-idf
17 Q0 CACM-1655 12 0.2520415006652116 tf-idf
17 Q0 CACM-1223 13 0.24817496698987276 tf-idf
17 Q0 CACM-2835 14 0.24368563832323747 tf-idf
17 Q0 CACM-1658 15 0.24016049829239744 tf-idf
17 Q0 CACM-3080 16 0.2318876557224851 tf-idf
17 Q0 CACM-0230 17 0.2285176272697918 tf-idf
17 Q0 CACM-0797 18 0.2285176272697918 tf-idf
17 Q0 CACM-1187 19 0.21423527556542982 tf-idf
17 Q0 CACM-1652 20 0.20864652924633165 tf-idf
17 Q0 CACM-0035 21 0.20775521670579927 tf-idf
17 Q0 CACM-0091 22 0.20775521670579927 tf-idf
17 Q0 CACM-0066 23 0.20163320053216924 tf-idf
17 Q0 CACM-1289 24 0.20163320053216924 tf-idf
17 Q0 CACM-3054 25 0.1990633756887087 tf-idf
17 Q0 CACM-2527 26 0.19891456918640354 tf-idf
17 Q0 CACM-2079 27 0.19477051566168682 tf-idf
17 Q0 CACM-1676 28 0.19082583776287043 tf-idf
17 Q0 CACM-1064 29 0.19043135605815983 tf-idf
17 Q0 CACM-1756 30 0.1869689677661933 tf-idf
17 Q0 CACM-3005 31 0.18577732519655493 tf-idf
17 Q0 CACM-0079 32 0.183313426505117 tf-idf
17 Q0 CACM-2253 33 0.18193767707074973 tf-idf
17 Q0 CACM-0333 34 0.18040865310773035 tf-idf
17 Q0 CACM-1232 35 0.18040865310773035 tf-idf
17 Q0 CACM-1275 36 0.18040865310773035 tf-idf
17 Q0 CACM-1852 37 0.17639593871247108 tf-idf
17 Q0 CACM-1162 38 0.1755677887654642 tf-idf
17 Q0 CACM-0210 39 0.17312934725483273 tf-idf
17 Q0 CACM-2904 40 0.1657292838243113 tf-idf
17 Q0 CACM-2533 41 0.15943090274636637 tf-idf
17 Q0 CACM-1523 42 0.1558102666981366 tf-idf
17 Q0 CACM-2929 43 0.15564490437312342 tf-idf
17 Q0 CACM-2611 44 0.15352195214363962 tf-idf
17 Q0 CACM-3066 45 0.1458623152785905 tf-idf
17 Q0 CACM-1065 46 0.14282351704361987 tf-idf
17 Q0 CACM-1167 47 0.14165128411759043 tf-idf
17 Q0 CACM-2106 48 0.13850347780386618 tf-idf
17 Q0 CACM-0093 49 0.13183709265564914 tf-idf
17 Q0 CACM-1204 50 0.13183709265564914 tf-idf
17 Q0 CACM-1414 51 0.13183709265564914 tf-idf
17 Q0 CACM-2834 52 0.13183709265564914 tf-idf
17 Q0 CACM-1066 53 0.1305815012970239 tf-idf
17 Q0 CACM-0537 54 0.12984701044112454 tf-idf
17 Q0 CACM-2552 55 0.12695423737210654 tf-idf
17 Q0 CACM-2746 56 0.12591225254896926 tf-idf
17 Q0 CACM-0123 57 0.12584793576218975 tf-idf
17 Q0 CACM-1402 58 0.12324573455694113 tf-idf
17 Q0 CACM-2344 59 0.12223085361754746 tf-idf
17 Q0 CACM-1389 60 0.12118690110433084 tf-idf
17 Q0 CACM-3171 61 0.12118690110433084 tf-idf
17 Q0 CACM-1786 62 0.12027243540515357 tf-idf
17 Q0 CACM-1331 63 0.11819877272575438 tf-idf
17 Q0 CACM-2836 64 0.11809380934126125 tf-idf
17 Q0 CACM-1670 65 0.1161954036965043 tf-idf
