QUERY = "distributed computing structures algorithms"
23 Q0 CACM-3148 1 0.4208002592595241 tf-idf
23 Q0 CACM-3137 2 0.35023836159572147 tf-idf
23 Q0 CACM-3082 3 0.3032583137894552 tf-idf
23 Q0 CACM-2849 4 0.2989650288125806 tf-idf
23 Q0 CACM-2197 5 0.2758317811158745 tf-idf
23 Q0 CACM-3166 6 0.27452454614669014 tf-idf
23 Q0 CACM-1831 7 0.24987163342480653 tf-idf
23 Q0 CACM-1862 8 0.24887077995417245 tf-idf
23 Q0 CACM-1431 9 0.2465838487744801 tf-idf
23 Q0 CACM-2578 10 0.24493940729148309 tf-idf
23 Q0 CACM-0072 11 0.23642724095646384 tf-idf
23 Q0 CACM-0052 12 0.22744373534209145 tf-idf
23 Q0 CACM-0088 13 0.22744373534209145 tf-idf
23 Q0 CACM-0627 14 0.2230996727007201 tf-idf
23 Q0 CACM-0793 15 0.2230996727007201 tf-idf
23 Q0 CACM-2155 16 0.21918564335509344 tf-idf
23 Q0 CACM-2949 17 0.21514947937765405 tf-idf
23 Q0 CACM-3011 18 0.21256761113516934 tf-idf
23 Q0 CACM-1525 19 0.20873756408768876 tf-idf
23 Q0 CACM-0147 20 0.20687383583690586 tf-idf
23 Q0 CACM-2594 21 0.2054865406454001 tf-idf
23 Q0 CACM-2325 22 0.20353787928332714 tf-idf
23 Q0 CACM-1873 23 0.20241244591624796 tf-idf
23 Q0 CACM-1224 24 0.20060493172063598 tf-idf
23 Q0 CACM-2630 25 0.19781216305451507 tf-idf
23 Q0 CACM-1551 26 0.19733245613444522 tf-idf
23 Q0 CACM-3035 27 0.1970227007970532 tf-idf
23 Q0 CACM-0657 28 0.1952122136131301 tf-idf
23 Q0 CACM-0481 29 0.19470478667002905 tf-idf
23 Q0 CACM-0371 30 0.1926340643217203 tf-idf
23 Q0 CACM-1660 31 0.1926340643217203 tf-idf
23 Q0 CACM-1952 32 0.1926340643217203 tf-idf
23 Q0 CACM-2007 33 0.1926340643217203 tf-idf
23 Q0 CACM-2950 34 0.19036778121205303 tf-idf
23 Q0 CACM-1745 35 0.18766920766401973 tf-idf
23 Q0 CACM-2283 36 0.18728311809056145 tf-idf
23 Q0 CACM-1411 37 0.18462286652023674 tf-idf
23 Q0 CACM-2276 38 0.18452334179476554 tf-idf
23 Q0 CACM-1342 39 0.17979179336693898 tf-idf
23 Q0 CACM-1796 40 0.17979179336693898 tf-idf
23 Q0 CACM-0270 41 0.1685548062815053 tf-idf
23 Q0 CACM-1658 42 0.1685548062815053 tf-idf
23 Q0 CACM-0080 43 0.16549906866952468 tf-idf
23 Q0 CACM-1275 44 0.16438923251632007 tf-idf
23 Q0 CACM-2975 45 0.16438923251632007 tf-idf
23 Q0 CACM-2954 46 0.16155493540396973 tf-idf
23 Q0 CACM-2226 47 0.15863981767671087 tf-idf
23 Q0 CACM-3006 48 0.1549929253163267 tf-idf
23 Q0 CACM-1374 49 0.14982649447244914 tf-idf
23 Q0 CACM-2273 50 0.14982649447244914 tf-idf
23 Q0 CACM-2725 51 0.14982649447244914 tf-idf
23 Q0 CACM-1780 52 0.1492599513182475 tf-idf
23 Q0 CACM-3124 53 0.14923775175164528 tf-idf
23 Q0 CACM-2406 54 0.14735942391264756 tf-idf
23 Q0 CACM-2863 55 0.1438334346935512 tf-idf
23 Q0 CACM-2832 56 0.14195786142229674 tf-idf
23 Q0 CACM-2819 57 0.14194088950021497 tf-idf
23 Q0 CACM-2884 58 0.1408816291308104 tf-idf
23 Q0 CACM-1349 59 0.13985836788973915 tf-idf
23 Q0 CACM-2810 60 0.13936763677433658 tf-idf
23 Q0 CACM-0069 61 0.13791589055793724 tf-idf
