QUERY = "modelling simulation agricultural ecosystems"
52 Q0 CACM-2721 1 0.4089397342365766 tf-idf
52 Q0 CACM-2749 2 0.3202500101786586 tf-idf
52 Q0 CACM-0557 3 0.24018750763399396 tf-idf
52 Q0 CACM-0757 4 0.24018750763399396 tf-idf
52 Q0 CACM-2767 5 0.23776137119324656 tf-idf
52 Q0 CACM-1030 6 0.22417500712506103 tf-idf
52 Q0 CACM-1207 7 0.22417500712506103 tf-idf
52 Q0 CACM-3070 8 0.22122533597867866 tf-idf
52 Q0 CACM-1366 9 0.2187073240244498 tf-idf
52 Q0 CACM-1208 10 0.21016406917974473 tf-idf
52 Q0 CACM-1329 11 0.21016406917974473 tf-idf
52 Q0 CACM-0238 12 0.19780147687505387 tf-idf
52 Q0 CACM-1928 13 0.18811888709795332 tf-idf
52 Q0 CACM-0678 14 0.18681250593755086 tf-idf
52 Q0 CACM-2725 15 0.18681250593755086 tf-idf
52 Q0 CACM-1890 16 0.1733311910760781 tf-idf
52 Q0 CACM-2742 17 0.16403049301833736 tf-idf
52 Q0 CACM-0643 18 0.1601250050893293 tf-idf
52 Q0 CACM-1870 19 0.15762305188480855 tf-idf
52 Q0 CACM-0633 20 0.1528465957670871 tf-idf
52 Q0 CACM-1637 21 0.142082750994757 tf-idf
52 Q0 CACM-3048 22 0.14128676919646704 tf-idf
52 Q0 CACM-1380 23 0.14010937945316315 tf-idf
52 Q0 CACM-2062 24 0.13632263946794254 tf-idf
52 Q0 CACM-3061 25 0.12933173487984292 tf-idf
52 Q0 CACM-2914 26 0.12609844150784683 tf-idf
52 Q0 CACM-2970 27 0.12570561147199683 tf-idf
52 Q0 CACM-1912 28 0.12009375381699698 tf-idf
52 Q0 CACM-1695 29 0.11840229249563083 tf-idf
52 Q0 CACM-1812 30 0.11208750356253051 tf-idf
52 Q0 CACM-3064 31 0.10731782255986964 tf-idf
52 Q0 CACM-1894 32 0.10189773051139138 tf-idf
52 Q0 CACM-2057 33 0.10189773051139138 tf-idf
52 Q0 CACM-2549 34 0.10189773051139138 tf-idf
52 Q0 CACM-1261 35 0.09890073843752693 tf-idf
52 Q0 CACM-2261 36 0.09746739440220045 tf-idf
52 Q0 CACM-0104 37 0.09607500305359759 tf-idf
52 Q0 CACM-1805 38 0.09007031536274773 tf-idf
52 Q0 CACM-1288 39 0.08849013439147146 tf-idf
52 Q0 CACM-1427 40 0.08622115658656193 tf-idf
52 Q0 CACM-2344 41 0.08567197724524626 tf-idf
52 Q0 CACM-2798 42 0.08549046881887921 tf-idf
52 Q0 CACM-1541 43 0.08006250254466465 tf-idf
52 Q0 CACM-2272 44 0.07820058388083524 tf-idf
52 Q0 CACM-1435 45 0.07642329788354355 tf-idf
52 Q0 CACM-1680 46 0.07584868662126125 tf-idf
52 Q0 CACM-2077 47 0.07472500237502035 tf-idf
52 Q0 CACM-2936 48 0.07363412642793976 tf-idf
52 Q0 CACM-1484 49 0.06862500218114113 tf-idf
52 Q0 CACM-1728 50 0.0679318203409276 tf-idf
52 Q0 CACM-3107 51 0.06725250213751831 tf-idf
52 Q0 CACM-1752 52 0.0663676007936036 tf-idf
52 Q0 CACM-1846 53 0.06593382562501796 tf-idf
52 Q0 CACM-2542 54 0.06227083531251695 tf-idf
52 Q0 CACM-1253 55 0.06004687690849849 tf-idf
52 Q0 CACM-2262 56 0.05899342292764764 tf-idf
52 Q0 CACM-2951 57 0.05797629494613648 tf-idf
52 Q0 CACM-1165 58 0.056993645879252805 tf-idf
52 Q0 CACM-2902 59 0.056609850284106325 tf-idf
52 Q0 CACM-2375 60 0.056514707678586816 tf-idf
52 Q0 CACM-1199 61 0.055125001752064196 tf-idf
52 Q0 CACM-2686 62 0.055125001752064196 tf-idf
52 Q0 CACM-1856 63 0.05452905578717701 tf-idf
52 Q0 CACM-0605 64 0.05423588882057928 tf-idf
52 Q0 CACM-3051 65 0.0533750016964431 tf-idf
52 Q0 CACM-1572 66 0.049693967096688406 tf-idf
52 Q0 CACM-2955 67 0.04945036921876347 tf-idf
52 Q0 CACM-1426 68 0.048733697201100226 tf-idf
52 Q0 CACM-1811 69 0.048733697201100226 tf-idf
52 Q0 CACM-2829 70 0.048733697201100226 tf-idf
52 Q0 CACM-1518 71 0.04736091699825233 tf-idf
52 Q0 CACM-2652 72 0.043110578293280966 tf-idf
52 Q0 CACM-2218 73 0.04297284481630563 tf-idf
52 Q0 CACM-1674 74 0.04256487477058121 tf-idf
52 Q0 CACM-1234 75 0.04203281383594895 tf-idf
52 Q0 CACM-2276 76 0.04151389020834464 tf-idf
52 Q0 CACM-2911 77 0.04100762325458434 tf-idf
52 Q0 CACM-1716 78 0.04003125127233233 tf-idf
52 Q0 CACM-2091 79 0.04003125127233233 tf-idf
52 Q0 CACM-3042 80 0.03910029194041762 tf-idf
52 Q0 CACM-1166 81 0.038650863297424315 tf-idf
52 Q0 CACM-2882 82 0.03843000122143904 tf-idf
52 Q0 CACM-2596 83 0.036550272900825166 tf-idf
52 Q0 CACM-2862 84 0.036550272900825166 tf-idf
52 Q0 CACM-1933 85 0.036157259213719525 tf-idf
52 Q0 CACM-1845 86 0.03539605375658859 tf-idf
52 Q0 CACM-2105 87 0.03502734486329079 tf-idf
52 Q0 CACM-2859 88 0.03502734486329079 tf-idf
52 Q0 CACM-2349 89 0.03431250109057057 tf-idf
52 Q0 CACM-1517 90 0.03329331788986055 tf-idf
52 Q0 CACM-2918 91 0.03296691281250898 tf-idf
52 Q0 CACM-2535 92 0.03233293371996073 tf-idf
52 Q0 CACM-0675 93 0.031426402867999206 tf-idf
52 Q0 CACM-2682 94 0.031426402867999206 tf-idf
52 Q0 CACM-2628 95 0.030849771622714826 tf-idf
52 Q0 CACM-2844 96 0.030023438454249245 tf-idf
52 Q0 CACM-2890 97 0.02949671146382382 tf-idf
52 Q0 CACM-2233 98 0.029367904863545114 tf-idf
52 Q0 CACM-1653 99 0.02802187589063263 tf-idf
52 Q0 CACM-2734 100 0.027450000872456456 tf-idf
