Query,Precision at 5,Precision at 20
articles exist deal tss time sharing system operating system ibm computers 4 5 cacm systems jb 1978 computer 2358 6 design,0.4,0.15
interested articles written prieve udo pooch prieve pooch 6 5 4 program system cacm 2356 1978 jb language,0.0,0.1
intermediate languages construction multi-targeted compilers tcoll 4 5 programming cacm 1978 jb language 6 1098 2939,0.0,0.05
im interested mechanisms communicating disjoint processes possibly exclusively distributed environment descriptions complete mechanisms implementations opposed theoretical work abstract problem remote procedure calls message-passing examples interests 4 5 cacm system data 1978 jb programming computer language,0.4,0.15
id papers design implementation editing interfaces window-managers command interpreters essential issues human interface design views improvements user efficiency effectiveness satisfaction system 5 4 1978 language cacm computer jb systems data,0.2,0.1
interested articles robotics motion planning geometric combinatorial aspects interested dynamics arm motion 5 6 cacm 4 computer 1978 jb 3188 programming data,0.4,0.1
interested distributed algorithms concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms 4 5 cacm 1978 jb system 2902 program algorithm 3128,0.8,0.4
addressing schemes resources networks resource addressing network operating systems 4 system 5 computer cacm 1978 6 jb 1877 2358,0.2,0.1
security considerations local networks network operating systems distributed systems system 5 4 computer cacm 1978 jb data information 3128,0.6,0.25
parallel languages languages parallel computation 4 6 programming cacm language 5 jb 1978 1098 1601,0.6,0.4
setl high level languages language 4 programming 5 data cacm jb 1978 system 1098,0.6,0.3
portable operating systems 4 system 5 6 cacm 1978 computer jb 2358 2111,0.2,0.05
code optimization space efficiency 5 cacm 4 1978 jb algorithm program storage 2033 system,0.0,0.1
find discussions optimal implementations sort algorithms database management applications 4 5 cacm algorithm 2679 data 1978 jb 6 2902,0.2,0.25
find discussions horizontal microcode optimization special emphasis optimization loops global optimization 5 4 cacm jb algorithm 1978 data 6 system program,0.2,0.1
find descriptions handling operating systems based multiple processes message passing 4 system 5 cacm 1978 jb data computer program 2740,0.0,0.1
optimization intermediate machine code 5 cacm 1978 jb 4 language system march algorithm program,0.4,0.1
languages compilers parallel processors especially highly horizontal microcoded machines code compaction 5 4 cacm jb 1978 6 language programming system program,0.0,0.05
parallel algorithms 4 6 5 cacm jb 1978 algorithm 1601 processing 2838,0.4,0.25
graph theoretic algorithms applicable sparse matrices 5 4 algorithm cacm jb 1978 matrix 2986 january problem,0.4,0.1
